Model,AUC,TPR,FPR,IDR
XGBoost,0.976923076923077,0.9538461538461539,0.0,0.9538461538461539
LightGBM,0.9846153846153847,0.9692307692307692,0.0,0.9692307692307692
Random Forest,0.9923076923076923,0.9846153846153847,0.0,0.9846153846153847
Decision Tree,0.9923076923076923,0.9846153846153847,0.0,0.9846153846153847
