marker_EOI_content_after_num,marker_DQT_num,marker_DHT_num,file_markers_num,marker_DQT_size_max,marker_DHT_size_max,file_size,marker_COM_size_max,marker_APP1_size_max,marker_APP12_size_max
0,2,4,11,67,69,113263,0,0,0
0,2,4,12,67,85,86005,0,0,0
0,2,4,11,67,76,41973,0,0,0
0,2,4,11,67,72,122328,0,0,0
0,2,4,11,67,70,203838,0,0,0
0,2,4,11,67,72,221836,0,0,0
0,2,4,11,67,80,155272,0,0,0
0,2,4,11,67,86,108315,0,0,0
0,2,4,12,67,79,122488,0,0,0
0,2,4,11,67,68,193671,0,0,0
0,2,4,11,67,77,117784,0,0,0
0,2,4,12,67,85,104045,0,0,0
0,2,4,12,67,77,119691,0,0,0
0,2,4,11,67,75,143139,0,0,0
0,2,4,11,67,73,83116,0,0,0
0,2,4,12,67,77,137870,0,0,0
0,2,4,11,67,77,147488,0,0,0
0,2,4,11,67,78,91945,0,0,0
0,2,4,12,67,85,130366,0,0,0
0,2,4,12,67,74,122657,0,0,0
0,2,4,11,67,71,143498,0,0,0
0,2,4,12,67,75,102962,0,0,0
0,2,4,11,67,73,107650,0,0,0
0,2,4,12,67,72,131284,0,0,0
0,2,4,11,67,69,201838,0,0,0
0,2,4,11,67,83,111018,0,0,0
0,2,4,11,67,77,114094,0,0,0
0,2,4,11,67,71,150896,0,0,0
0,2,4,11,67,69,162121,0,0,0
0,2,4,11,67,74,122171,0,0,0
0,2,4,12,67,65,135225,0,0,0
0,2,4,11,67,81,150145,0,0,0
0,2,4,11,67,86,118865,0,0,0
0,2,4,12,67,73,152193,0,0,0
0,2,4,11,67,83,120939,0,0,0
0,2,4,11,67,78,97302,0,0,0
0,2,4,12,67,75,88221,0,0,0
0,2,4,11,67,79,125312,0,0,0
0,2,4,11,67,71,241521,0,0,0
0,2,4,11,67,80,160062,0,0,0
0,2,4,12,67,74,176375,0,0,0
0,2,4,11,67,79,212007,0,0,0
0,2,4,11,67,76,90451,0,0,0
0,2,4,11,67,81,144855,0,0,0
0,2,4,12,67,73,177389,0,0,0
0,2,4,11,67,74,101048,0,0,0
0,2,4,12,67,80,124719,0,0,0
0,2,4,11,67,70,178753,0,0,0
0,2,4,12,67,97,98654,0,0,0
0,2,4,11,67,83,91427,0,0,0
0,2,4,11,67,68,223314,0,0,0
0,2,4,11,67,74,108396,0,0,0
0,2,4,11,67,90,115604,0,0,0
0,2,4,11,67,72,126555,0,0,0
0,2,4,11,67,75,91109,0,0,0
0,2,4,12,67,84,89567,0,0,0
0,2,4,12,67,79,75322,0,0,0
0,2,4,11,67,71,179742,0,0,0
0,2,4,11,67,84,97027,0,0,0
0,2,4,11,67,79,155916,0,0,0
0,2,4,12,67,67,114909,0,0,0
0,2,4,11,67,70,165106,0,0,0
0,2,4,11,67,73,151826,0,0,0
0,2,4,11,67,80,145169,0,0,0
0,2,4,11,67,77,139175,0,0,0
0,2,4,12,67,83,139965,0,0,0
0,2,4,11,67,68,136865,0,0,0
0,2,4,12,67,73,151818,0,0,0
0,2,4,12,67,69,118759,0,0,0
0,2,4,11,67,70,80640,0,0,0
0,2,4,11,67,77,186927,0,0,0
